Quarter,Quarter,CO2 emissions (trend),CH4 emissions (trend),N2O emissions (trend),Other emissions (trend)
2004-09,Sep-04,108.89,37.52,5.24,1.36
2004-12,Dec-04,108.83,37.5,5.24,1.37
2005-03,Mar-05,109.71,37.57,5.25,1.36
2005-06,Jun-05,112,37.68,5.27,1.33
2005-09,Sep-05,114.98,37.8,5.29,1.27
2005-12,Dec-05,117.24,37.86,5.29,1.24
2006-03,Mar-06,117.7,37.88,5.28,1.24
2006-06,Jun-06,116.45,37.93,5.23,1.27
2006-09,Sep-06,114.62,38.06,5.18,1.31
2006-12,Dec-06,113.19,38.22,5.13,1.34
2007-03,Mar-07,112.53,38.27,5.1,1.37
2007-06,Jun-07,112.3,38.09,5.06,1.39
2007-09,Sep-07,111.97,37.74,5.02,1.42
2007-12,Dec-07,111.36,37.38,5,1.45
2008-03,Mar-08,111.02,37.17,5.01,1.49
2008-06,Jun-08,111.18,37.15,5.04,1.54
2008-09,Sep-08,111.26,37.17,5.08,1.59
2008-12,Dec-08,110.68,37.17,5.1,1.63
2009-03,Mar-09,109.92,37,5.11,1.67
2009-06,Jun-09,109.8,36.66,5.13,1.7
2009-09,Sep-09,110.55,36.3,5.15,1.74
2009-12,Dec-09,111.38,36.11,5.17,1.77
2010-03,Mar-10,111.03,36.17,5.19,1.8
2010-06,Jun-10,108.79,36.39,5.22,1.84
2010-09,Sep-10,105.55,36.52,5.26,1.9
2010-12,Dec-10,102.91,36.5,5.28,1.94
2011-03,Mar-11,101.63,36.41,5.28,1.97
2011-06,Jun-11,100.88,36.43,5.25,1.99
2011-09,Sep-11,99.4,36.54,5.23,2.02
2011-12,Dec-11,97.57,36.55,5.21,2.04
2012-03,Mar-12,96.11,36.41,5.18,2.07
2012-06,Jun-12,95.85,36.28,5.13,2.09
2012-09,Sep-12,96.47,36.28,5.07,2.1
2012-12,Dec-12,97.01,36.32,5.01,2.11
2013-03,Mar-13,96.8,36.28,4.99,2.13
2013-06,Jun-13,95.92,36.06,5.01,2.17
2013-09,Sep-13,95.11,35.82,5.04,2.22
2013-12,Dec-13,94.17,35.71,5.06,2.27
2014-03,Mar-14,93.2,35.74,5.04,2.3
2014-06,Jun-14,92.77,35.76,4.99,2.33
2014-09,Sep-14,92.77,35.64,4.92,2.37
2014-12,Dec-14,92.77,35.51,4.87,2.4
2015-03,Mar-15,91.66,35.42,4.84,2.42
2015-06,Jun-15,88.9,35.31,4.81,2.44
2015-09,Sep-15,85.55,35.13,4.78,2.47
2015-12,Dec-15,82.86,34.89,4.76,2.5
2016-03,Mar-16,82.26,34.89,4.78,2.53
2016-06,Jun-16,84.19,35.27,4.83,2.54
2016-09,Sep-16,87.47,35.8,4.91,2.54
2016-12,Dec-16,90.49,36.12,4.97,2.55
2017-03,Mar-17,91.28,36.04,4.96,2.56
2017-06,Jun-17,89.45,35.76,4.89,2.56
2017-09,Sep-17,86.51,35.58,4.8,2.55
2017-12,Dec-17,84.29,35.51,4.74,2.55
2018-03,Mar-18,83.71,35.3,4.7,2.58
2018-06,Jun-18,84.13,34.81,4.66,2.64
2018-09,Sep-18,84.24,34.2,4.6,2.7
2018-12,Dec-18,83.58,33.72,4.55,2.76
2019-03,Mar-19,82.48,33.44,4.52,2.79
2019-06,Jun-19,81.87,33.18,4.5,2.8
2019-09,Sep-19,82,32.88,4.46,2.81
2019-12,Dec-19,81.39,32.66,4.45,2.82
2020-03,Mar-20,78.97,32.59,4.46,2.84
2020-06,Jun-20,75.12,32.57,4.52,2.88
2020-09,Sep-20,71.54,32.5,4.58,2.93
2020-12,Dec-20,69.76,32.42,4.63,2.97
2021-03,Mar-21,69.91,32.38,4.69,2.97
2021-06,Jun-21,70.76,32.42,4.78,2.94
2021-09,Sep-21,71.09,32.48,4.88,2.9
2021-12,Dec-21,70.58,32.42,4.96,2.86
2022-03,Mar-22,70.1,32.43,4.99,2.86
2022-06,Jun-22,70.4,32.66,5.01,2.9
2022-09,Sep-22,71.11,32.99,5.05,2.94
2022-12,Dec-22,71.59,33.22,5.07,2.98
2023-03,Mar-23,71.52,33.12,5.03,2.97
2023-06,Jun-23,71.11,32.78,4.89,2.93
2023-09,Sep-23,70.97,32.54,4.71,2.88
2023-12,Dec-23,71.33,32.49,4.57,2.85
2024-03,Mar-24,71.92,32.54,4.55,2.84
2024-06,Jun-24,72.03,32.5,4.63,2.84
2024-09,Sep-24,71.26,32.2,4.72,2.83
2024-12,Dec-24,70.15,31.81,4.79,2.83
2025-03,Mar-25,69.2,31.53,4.82,2.83
